Thomas J. Schriber,41
Averill M. Law,37
Robert G. Sargent,35
James R. Wilson,30
A. Alan B. Pritsker,28
James O. Henriksen,27
Stephen D. Roberts,26
Lee W. Schruben,22
Richard E. Nance,21
Peter W. Glynn,19
Bruce W. Schmeiser,18
David Goldsman,18
Charles R. Standridge,18
Barry L. Nelson,18
W. David Kelton,17
C. Dennis Pegden,16
Bernard P. Zeigler,15
Lee Schruben,14
Thomas D. Clark Jr.,14
Andrew F. Seila,14
Robert E. Shannon,14
Julian Reitman,13
Paul A. Fishwick,13
George S. Fishman,13
Jerry Banks,13
William E. Biles,13
Osman Balci,13
Peter D. Welch,12
Daniel T. Brunner,12
Edward C. Russell,12
Pierre L'Ecuyer,12
Paul F. Reynolds Jr.,11
Jean J. O'Reilly,11
Jerzy W. Rozenblit,11
David M. Nicol,11
Randall P. Sadowski,10
Bruce Schmeiser,10
Peter A. W. Lewis,10
James J. Swain,10
Van B. Norman,10
Stephen G. Vincent,10
William J. Garrison,10
Arne Thesen,10
Jeff Rothenberg,9
William R. Lilegdon,9
Edward A. MacNair,9
Russell C. H. Cheng,9
Robert C. Crain,9
Bernard J. Schroer,9
Gordon M. Clark,9
Deborah A. Davis,8
Philip Heidelberger,8
Rajan Suri,8
Jeffrey D. Tew,8
Paul F. Roth,8
Jorge Haddock,8
Kenneth J. Musselman,8
Onur M. Ulgen,7
Richard M. Fujimoto,7
Brian W. Unger,7
Russell R. Barton,7
Timothy Thomasma,7
John S. Carson,7
D. J. Medeiros,7
Sallie Sheppard,7
Enver Yücesan,6
Michael C. Fu,6
Mark E. Johnson,6
F. Paul Wyman,6
David T. Sturrock,6
Marc Abrams,6
Dana L. Wyatt,6
Wayne J. Davis,6
Michael G. McComas,6
Richard J. Mayer,6
Douglas J. Morrice,6
Donald L. Iglehart,6
Rajive L. Bagrodia,6
Ray J. Paul,6
Sheldon H. Jacobson,6
Richard W. Andrews,6
Robert F. Gordon,6
Kevin J. Healy,6
Tuncer I. Ören,6
Susumu Morito,5
Keebom Kang,5
G. Arthur Mihram,5
Perwez Shahabuddin,5
C. Michael Overstreet,5
Hamdy A. Taha,5
Michael G. Ketcham,5
Robert E. Young,5
John E. Lenz,5
Voratas Kachitvichyanukul,5
Martha A. Centeno,5
Graham Birtwistle,5
J. G. Shanthikumar,5
John M. Charnes,5
Douglas W. Jones,5
Paul Glasserman,5
Nancy J. Earle,5
Jeffry Jones,5
Robin J. Miner,5
Kurtiss J. Gordon,5
Gerald T. Mackulak,5
Mary E. Grant,5
Charles M. Shub,5
Soemon Takakuwa,5
John Craig Comfort,5
Farhad Azadivar,5
Robert M. O'Keefe,5
Larry L. Wear,5
Joseph M. Sussman,5
James F. Kurose,5
Springer W. Cox,5
David Alan Grier,5
Charles R. Harrell,5
Sigrun Andradottir,5
Udo W. Pooch,4
Bennett L. Fox,4
Dirk Baezner,4
William W. Happ,4
Douglas G. MacFarland,4
Greg Lomow,4
Paul J. Sanchez,4
Frank Gudan,4
Gregory W. Diehl,4
S. Manivannan,4
Robb Mills,4
Joe H. Mize,4
Linda Weiser Friedman,4
Ken Tumay,4
T. A. Norman,4
Arnold H. Buss,4
Thomas F. Schuppe,4
Saul I. Gass,4
Kenneth W. Bauer Jr.,4
Joan M. Donohue,4
Edward D. Lazowska,4
Jason C. Hsu,4
Steven D. Duket,4
Way Kuo,4
Lawrence L. Rose,4
Laurie J. Rolston,4
John S. Carson II,4
J. W. Schmidt,4
Eric L. Blair,4
Robert S. Dittus,4
Peter L. Haigh,4
Harold G. Hixson,4
Catherine M. Harmonosky,4
Meyer Katzper,4
Kenneth D. Farnsworth,4
Donald Ingerman,4
Joseph R. Litko,4
Sekhar Venkatraman,4
Paul Gray,4
Henry Kleine,4
Marvin S. Seppanen,4
David H. Withers,4
Don T. Phillips,4
Wheyming Tina Song,4
Shu Tezuka,4
Heimo H. Adelsberger,4
David L. Martin,4
Luc Devroye,4
Kenneth N. McKay,4
F.B. Armstrong,4
Michael R. Taaffe,4
Sudhir Srinivasan,4
Kenneth R. Anderson,4
W.D. Kelton,3
Jacob P. Poorte,3
Thomas H. Naylor,3
Brian Unger,3
Louis R. Moore,3
Onala M. Atala,3
Maurice F. Aburdene,3
Douglas G. Fritz,3
K. Ronald Laughery,3
Tag Gon Kim,3
Vernon Rego,3
G. K. Hutchinson,3
Simaan M. AbouRizk,3
Brian A. Malloy,3
Ardavan Nozari,3
William B. Nordgren,3
Keith A. Klafehn,3
Neal M. Bengtson,3
Elliot Sigal,3
Robert W. Klein,3
Donald L. Byrkett,3
James W. Kho,3
Stephen K. Halladin,3
John B. Gilmer Jr.,3
David J. DeBrota,3
Yu-Chi Ho,3
Ricardo F. Garzia,3
Douglas S. Smith,3
George M. Frankfurter,3
Michael Pidd,3
Marvin K. Nakayama,3
Y. C. Ho,3
Joseph J. Talavage,3
A.M. Law,3
Donald A. Heimburger,3
David P. Yancey,3
Ambuj Goyal,3
Herb Schwetman,3
Perakath C. Benjamin,3
Pirooz Vakili,3
Trevor Miles,3
John S. Ramberg,3
Edward F. Mykytka,3
Gerald W. Evans,3
Jim Lee,3
Mark K. Brazier,3
David B. Wortman,3
Paul T. R. Wang,3
Paul Rogers,3
David P. Miller,3
Kenneth A. Powell Jr.,3
Francis J. Brewerton,3
Dean S. Hartley III,3
Udo Pooch,3
R. Greer Lavery,3
Robert Greer Lavery,3
David K. Vaughan,3
Joseph L. Sowers,3
Tenny N. Lam,3
Berth Eklundh,3
Wafik H. Iskander,3
Jeffrey A. Joines,3
Claude Dennis Pegden,3
Laurel E. Travis,3
Sallie V. Sheppard,3
Fan T. Tseng,3
Ernest C. Houck,3
Marc S. Meketon,3
John Goble,3
Jerry G. Fox,3
R. Wayne Gober,3
S. Wali Haider,3
Phillip A. Farrington,3
Murali Krishnamurthi,3
K.J. Healy,3
Christos Alexopoulos,3
Gerald N. Pitts,3
Merriel C. Dewsnup,3
Mark A. Roth,3
J. William Schmidt,3
B.W. Mazziotti,3
F. Hank Grant,3
David E. Douglas,3
L. Leslie Gardner,3
Steven A. Walker,3
Joel J. Luna,3
Richard Wiener,3
R.G. Sargent,3
Edward Mascarenhas,3
Michael J. O'Loughlin,3
Norman R. Nielsen,3
Douglas R. Miller,3
Peter L. Reiher,3
Philip Cobbin,3
Michael A. Crane,3
Ashvin Radiya,3
Val Silbey,3
Tapas K. Som,3
Terrence G. Beaumariage,3
Mary Ann Flanigan,3
G. Miles Johnson,3
Charles R. Cash,3
Alan Covington,3
Jack P. C. Kleijnen,3
Jose A. Sepulveda,3
Martin Goldberg,3
Charles H. Reilly,3
Charles E. Knadler Jr.,3
Roger McHaney,3
Harold J. Steudel,3
S. A. Weiner,3
John L. Ballard,3
David R. Kalasky,3
Bernard Zeigler,3
Darrin West,3
Philip J. Kiviat,3
Ernest H. Page,3
Andrew J. Junga,3
Van Norman,3
David Jefferson,3
George B. Kleindorfer,3
William Biles,2
S.H. Jacobson,2
Ali K. Gunal,2
William S. Keezer,2
Alan B. Pritsker,2
E. Yucesan,2
Lih-Yuan Deng,2
Richard Reese,2
E.C. Russell,2
Salah M. Yousif,2
David P. Sly,2
B.L. Nelson,2
Minghui Yang,2
Jeffery K. Cochran,2
Naim A. Kheir,2
R. M. Bryant,2
Mohamed A. Ahmed,2
Wayne J. Oates,2
Ralph C. Huntsinger,2
David Nicol,2
S. B. O'Reilly,2
Peter M. Waller,2
S. M. Alexander,2
Stephen G. Strickland,2
Deborah J. Seifert,2
W. Bruce Thompson,2
F. McGuire,2
F. Bradley Armstrong,2
Manfred Mittler,2
J. Stuart Hunter,2
J.G. Goble,2
Peter Welch,2
Paul F. Reynolds Jr.,2
Kiyohisa Mizoguichi,2
Aarti Shanker,2
Bojan Groselj,2
Colin L. Moodie,2
John R. Barrett Jr.,2
John C. Comfort,2
R. Garrison Harvey,2
Ralph R. Duersch,2
George N. Krebs,2
Teresa R. Davenport,2
Jonathan F. Bard,2
Mansooreh Mollaghasemi,2
George K. Hutchinson,2
Michael Tomsicek,2
Otis L. Newton,2
Walter J. Trybula,2
J. J. Talavage,2
Mark A. Turnquist,2
Charles H. White,2
François E. Cellier,2
Ruh-Ming Li,2
P. A. W. Lewis,2
Austin J. Lemoine,2
Photios G. Ioannou,2
James C. Hershauer,2
I. Vertinsky,2
Daniel W. Halpin,2
L.A. Okashah,2
S.M. AbouRizk,2
Francis Scheid,2
William A. Sherden,2
Richard Van Slyke,2
Floyd H. Grant III,2
John P. Meszaros,2
Paul G. Loewner,2
Leo J. Cohen,2
